ID, predictor, rs, disc_func, psi_model, rbf, shape_param, pts_dist, mae, std_ae, max_ae, min_ae, mse, rmse, ssim, optimizer, N, n_eval, max_epochs, tot_epochs, lr_factor, lr_pat, es_pat, psimodel_only, loaded_psi, batch_psimod_only, trainperc_psimod_only, reg_fac
20240719_142814, vsk_nointerpol, 5, franke_function, deltaresnet_000, gaussian, 4.8, halton, 0.014189580187700503, 0.015930658865250073, 0.24064139442710786, 2.275359484049666e-06, 0.0004551300777841534, 0.02133377786010142, 0.9740018844604492, adam_lr1e-4, 1521, 100, 2000, 2000, 0.5, 75, 550, False, False, 32, 0.8, 0.001
20240719_142814, psi, 5, franke_function, deltaresnet_000, gaussian, 4.8, halton, 0.2786957707599007, 0.23209168229198265, 0.9434626171210105, 1.0050376495172875e-05, 0.13153788162857777, 0.3626815154216958, 0.36818522214889526, adam_lr1e-4, 1521, 100, 2000, 2000, 0.5, 75, 550, False, False, 32, 0.8, 0.001
20240719_142814, classic_interpol, 5, franke_function, deltaresnet_000, gaussian, 4.8, halton, 0.00036015757059163265, 0.0005045454266492444, 0.01050272913075323, 6.701716959156556e-11, 3.842795632071348e-07, 0.0006199028659452502, 0.9997696876525879, adam_lr1e-4, 1521, 100, 2000, 2000, 0.5, 75, 550, False, False, 32, 0.8, 0.001
20240719_143051, vsk_interpol, 5, franke_function, deltaresnet_000, gaussian, 4.8, halton, 0.0002479390555865852, 0.00045718585671783966, 0.02204990256423267, 1.3912553026296237e-08, 2.7049268286799285e-07, 0.0005200891105070293, 0.9999446868896484, adam_lr1e-4, 1521, 100, 1000, 1000, 0.5, 75, 550, True, False, 32, 0.8, 0.001
20240719_143051, psi, 5, franke_function, deltaresnet_000, gaussian, 4.8, halton, 0.0023233835613565433, 0.002156992540605317, 0.025615662788241456, 1.6898922328145716e-07, 1.0050727993408793e-05, 0.003170288313924901, 0.9971287846565247, adam_lr1e-4, 1521, 100, 1000, 1000, 0.5, 75, 550, True, False, 32, 0.8, 0.001
20240719_143051, classic_interpol, 5, franke_function, deltaresnet_000, gaussian, 4.8, halton, 0.00036015757059163265, 0.0005045454266492444, 0.01050272913075323, 6.701716959156556e-11, 3.842795632071348e-07, 0.0006199028659452502, 0.9997696876525879, adam_lr1e-4, 1521, 100, 1000, 1000, 0.5, 75, 550, True, False, 32, 0.8, 0.001
20240719_143644, vsk_interpol, 4, dfunc_basic_004, deltaresnet_000, matern_c2, 0.06, halton, 0.020984079692739487, 0.057354165573659195, 0.9488521139674522, 2.1355618295970658e-07, 0.0037298319092019553, 0.061072349792700424, 0.9074602127075195, adam_lr1e-4, 729, 100, 2000, 2000, 0.5, 75, 550, False, False, 32, 0.8, 0.001
20240719_143644, vsk_nointerpol, 4, dfunc_basic_004, deltaresnet_000, matern_c2, 0.06, halton, 0.02891508038856787, 0.052044722883661666, 0.9428829246865496, 1.6328015062239132e-05, 0.0035447350539144786, 0.05953767759926884, 0.8857458829879761, adam_lr1e-4, 729, 100, 2000, 2000, 0.5, 75, 550, False, False, 32, 0.8, 0.001
20240719_143644, psi, 4, dfunc_basic_004, deltaresnet_000, matern_c2, 0.06, halton, 28.926832974292147, 12.35582485294926, 51.61829593880181, 0.028758918415929258, 989.428073719354, 31.455175626903657, 0.4836612641811371, adam_lr1e-4, 729, 100, 2000, 2000, 0.5, 75, 550, False, False, 32, 0.8, 0.001
20240719_143644, classic_interpol, 4, dfunc_basic_004, deltaresnet_000, matern_c2, 0.06, halton, 0.19735849261229071, 0.13691208897575416, 0.6387068527749744, 5.5693405359658055e-05, 0.05769529471390043, 0.240198448608438, 0.588398814201355, adam_lr1e-4, 729, 100, 2000, 2000, 0.5, 75, 550, False, False, 32, 0.8, 0.001
